index,东华纸箱,东大纸业,东线用户,五星纸业,五洲纸业,五洲纸业表二,仙鹤大表,仙鹤小表,仙鹤股份山花厂,仙鹤股份永鑫纸业,仙鹤股份沈家通江路厂区,仙鹤股份表三,仙鹤股份金达厂区,冠威科技,出口南线,出口流量北线,制革厂(表二）,制革厂,启越纸制品,夏王,夏王表二,娃哈哈,排放口,新东线出口,新南线出口,明旺,晶鑫新厂,望湖纸业,梦家园,泰康生物科技,虹华印染表一,虹华印染表二,都邦药业,金瑞泓科技,鑫丰表二,鑫源纸业
2015/3/2,0,58,870,376,86,261,372,79,,57,698,,43,,717,545,103,129,21,25,5372,8609,130,0,865,127,45,64,195,0,5,,35,,36,83
2015/3/3,0,100,1735,564,227,386,585,117,,83,0,,65,,1196,864,146,157,18,435,282,0,198,0,1248,176,147,94,275,0,8,,57,,57,120
2015/3/4,15,90,1912,559,249,400,574,114,,83,0,,67,,1296,897,152,166,21,585,360,0,233,0,1287,192,189,114,301,0,9,,15,,65,112
2015/3/5,22,98,1964,685,227,411,567,116,,61,0,,65,,1359,991,144,237,0,617,334,0,106,0,1341,211,189,128,294,0,9,,13,,57,142
2015/3/6,0,97,1732,672,255,256,514,88,,0,0,,66,,1367,980,157,226,23,609,288,0,191,0,1287,203,181,127,289,0,21,,23,,57,148
2015/3/7,18,95,1898,612,269,406,448,121,,0,0,,66,,1369,984,157,0,23,647,300,0,197,0,1264,202,177,119,278,0,41,,24,,62,153
2015/3/8,0,96,1920,581,261,403,477,120,,0,0,,66,,1397,890,145,147,26,653,386,0,297,0,1264,198,168,14,299,1,48,,25,,53,153
2015/3/9,16,96,1978,557,274,397,576,118,,60,0,,62,,1390,983,141,184,24,610,363,9,88,0,1308,201,164,110,304,0,42,,28,,57,136
2015/3/10,16,97,2119,529,264,391,591,95,,91,0,,65,,1436,995,140,208,21,613,399,75,182,0,1306,201,137,145,305,0,54,,48,,53,142
2015/3/11,15,91,2378,571,469,394,590,98,,87,0,,64,,1458,988,139,230,22,597,412,89,499,0,1318,191,149,135,281,0,40,,49,,64,137
2015/3/12,21,84,2295,565,430,388,625,98,,84,0,,68,,1426,1033,141,224,25,564,402,84,444,0,1270,200,149,133,210,0,55,,49,,70,140
2015/3/13,0,100,2194,563,472,380,492,94,,87,0,,69,,1437,1009,136,209,21,656,399,86,183,0,1322,217,137,133,275,0,53,,53,,68,137
2015/3/14,20,92,2287,548,461,385,507,110,,88,0,,68,,1387,1001,134,211,23,692,370,85,172,0,1278,174,138,130,294,0,44,,62,,59,141
2015/3/15,3,87,2262,652,488,384,428,116,,79,0,,70,,1318,937,145,207,0,706,324,86,183,0,1272,97,178,15,133,0,64,,57,,59,141
2015/3/16,14,90,2026,607,295,392,424,114,,91,0,,67,,1418,1063,145,190,26,646,402,83,33,0,1265,108,199,113,375,0,67,,65,,47,151
2015/3/17,0,90,1892,582,278,361,438,111,,85,0,,66,,1420,1060,134,205,24,601,392,87,1,0,1302,194,164,139,295,0,75,,50,,60,158
2015/3/18,19,80,2017,315,379,381,436,110,,65,0,,51,,1340,1030,137,207,21,592,400,87,639,0,1134,196,153,142,282,1,63,,55,,51,165
2015/3/19,0,69,2097,507,382,373,478,108,,0,0,,73,,1418,958,142,222,25,613,395,98,60,0,462,185,38,150,313,0,71,,62,,56,168
2015/3/20,19,91,2038,601,360,377,448,74,,0,0,,72,,1431,976,149,218,24,592,390,85,256,0,583,99,4,146,337,0,79,,57,,60,171
2015/3/21,0,98,2071,275,385,374,504,109,,0,0,,73,,1244,957,149,217,26,516,399,87,199,0,1095,27,4,139,332,0,79,,21,,61,167
2015/3/22,0,94,2137,0,395,370,521,112,,0,0,,71,,1134,862,146,178,17,584,394,82,117,0,967,52,24,17,292,0,87,,11,,60,168
2015/3/23,29,96,2141,0,394,381,494,107,,48,0,,70,,1172,976,145,163,17,590,390,87,308,0,1064,175,36,107,326,0,91,,29,,60,151
2015/3/24,46,96,2093,1,383,379,503,107,,43,0,,70,,1275,1035,143,169,22,563,409,84,592,0,1040,217,66,145,341,0,92,,27,,62,167
2015/3/25,0,95,2018,1,402,383,371,112,,78,0,,64,,1362,1105,143,182,24,610,412,90,586,0,1026,221,167,144,369,0,66,,49,,64,175
2015/3/26,21,94,2239,120,389,388,599,113,,89,0,,46,,1323,1040,142,193,23,608,418,84,90,0,1117,206,137,136,324,0,59,,44,,70,170
2015/3/27,0,90,2182,576,396,387,600,113,,86,0,,66,,1337,1081,141,166,25,535,283,88,289,0,1347,144,133,144,335,1,65,,59,,61,175
2015/3/28,13,68,2034,560,356,387,536,117,,86,0,,70,,1245,1035,136,42,23,587,359,81,243,0,1293,104,129,145,323,0,66,,64,,60,168
2015/3/29,18,68,2040,602,395,378,525,117,,89,0,,68,,1237,920,121,42,0,586,412,88,224,0,1302,96,126,20,312,0,71,,61,,71,167
2015/3/30,0,80,1894,647,391,195,530,101,,80,0,,68,,1381,1027,126,188,22,630,402,92,142,0,1296,51,152,96,297,0,77,,56,,72,163
2015/3/31,10,89,2101,633,397,364,507,101,,87,698,,66,,1363,1024,133,206,22,650,382,94,304,0,1325,77,135,127,304,0,78,,68,,65,165
2015/4/1,19,96,2120,595,394,260,565,108,,64,0,,64,,1305,998,109,167,19,597,329,88,232,,1276,183,136,127,277,0,81,,61,,59,162
2015/4/2,18,89,2081,425,383,436,543,109,,86,0,,64,,1186,1019,110,150,20,580,311,94,369,,1212,180,133,142,281,0,59,,65,,67,161
2015/4/3,0,91,1962,562,182,368,568,108,,65,0,,64,,1305,1022,61,186,26,615,350,95,291,,1270,194,146,131,304,0,61,,70,,38,159
2015/4/4,17,91,2187,512,400,375,532,107,,0,0,,63,,1127,883,143,55,19,626,346,103,262,,1171,153,131,15,292,0,54,,66,,48,149
2015/4/5,0,95,1987,560,489,354,439,105,,0,0,,63,,897,825,19,0,0,581,345,96,1561,,1144,129,130,0,252,0,19,,17,,69,156
2015/4/6,14,94,2013,586,489,243,516,111,,0,0,,56,,1090,991,0,1,20,608,384,98,82,,1184,141,142,111,281,0,64,,19,,49,157
2015/4/7,20,90,2200,503,482,395,497,112,,60,0,,70,,1183,1130,0,0,23,667,379,100,0,,1202,186,134,157,283,1,74,,59,,69,178
2015/4/8,18,87,2116,577,485,376,437,106,,88,0,,69,,1205,1097,0,1482,0,649,395,98,272,,1295,193,144,172,290,0,80,,55,,62,172
2015/4/9,0,92,2120,570,491,386,490,73,,85,0,,71,,1188,1136,85,27,20,643,233,103,221,,1298,205,177,151,307,0,70,,70,,61,168
2015/4/10,24,96,2165,564,495,391,472,92,,88,0,,72,,1375,1142,106,165,29,673,371,26,241,,1292,149,187,151,290,0,68,,72,,65,165
2015/4/11,0,98,2161,571,499,385,501,96,,101,0,,60,,1383,1154,113,204,23,640,372,94,119,,1328,109,200,152,328,0,68,,74,,51,165
2015/4/12,25,96,2135,615,442,382,507,92,,98,0,,65,,1287,1018,109,191,18,632,268,105,103,,1297,124,154,20,307,0,77,,76,,55,165
2015/4/13,0,91,2110,575,441,375,512,91,,79,0,,64,,1305,1108,117,208,23,659,237,96,1034,,1289,145,200,113,332,0,71,,71,,59,144
2015/4/14,20,79,1878,542,385,386,387,68,,97,0,,64,,1331,1126,113,192,16,575,303,101,832,,1288,145,193,146,312,0,82,,75,,56,138
2015/4/15,0,75,2083,246,506,345,519,108,,94,0,,63,,1282,1123,120,184,19,556,337,97,973,,1205,182,176,147,324,2,74,,78,,67,148
2015/4/16,19,90,2064,530,481,375,507,108,,68,0,,52,,1302,1009,104,167,12,529,311,101,145,,1283,175,100,147,300,1,85,,80,,18,154
2015/4/17,0,87,2119,519,463,372,517,85,,74,0,,60,,1318,1019,114,158,33,586,362,96,364,,1283,129,88,147,318,1,89,,80,,20,160
2015/4/18,18,80,1984,511,392,221,490,114,,88,0,,62,,1126,829,112,180,20,583,237,99,244,,1256,56,68,17,307,1,75,,23,,10,146
